Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à jour;Nombre de relations;Nombre de lieux de formation;Date d'import
30540504500744;0142447J;AFTRAL;AFT-FC;11750091675;actif;formateur;16 Rue de l'Artisanat 14500 Vire Normandie;Normandie;Normandie;Oui;aftral;aftral;125;1;2022-11-21
30540504502252;0133501K;AFTRAL;;11750091675;actif;formateur;24 Boulevard gay lussac 13014 Marseille;Aix-Marseille;Provence-Alpes-Côte d'Azur;Oui;aftral;aftral;125;1;2022-11-21
30540504502559;0602211C;AFTRAL;;11750091675;actif;responsable_formateur;1 PL DE LA GARE-LIEUDITBAC A L AUMONE 60280 CLAIROIX;Amiens;Hauts-de-France;Oui;;aftral;125;1;2022-11-21
30540504502294;0624509P;AFTRAL;;11750091675;actif;responsable_formateur;326 Rue de Stalingrad 62232 Annezin;Lille;Hauts-de-France;Oui;aftral;aftral;125;1;2022-05-11
30540504500652;0261478R;AFTRAL;;11750091675;actif;responsable_formateur;Rue Louis Saillant 26800 Portes-lès-Valence;Grenoble;Auvergne-Rhône-Alpes;Oui;;aftral;125;1;2022-05-11
30540504502526;0562034G;AFTRAL;;11750091675;actif;responsable_formateur;Rue de l'Industrie 56100 Lorient;Rennes;Bretagne;Oui;;aftral;125;1;2022-02-11
30540504502229;0840044S;AFTRAL;;11750091675;actif;formateur;853 Avenue des Marchés 84200 Carpentras;Aix-Marseille;Provence-Alpes-Côte d'Azur;Oui;;aftral;125;1;2022-01-25
30540504502195;0134418G;AFTRAL;;11750091675;actif;formateur;Route Nationale 568 13270 Fos-sur-Mer;Aix-Marseille;Provence-Alpes-Côte d'Azur;Oui;;aftral;125;;2022-01-25
30540504502385;0050654J;AFTRAL;;11750091675;actif;formateur;Chemin de Serre Niou 05000 Neffes;Aix-Marseille;Provence-Alpes-Côte d'Azur;Oui;;aftral;125;1;2022-01-25
30540504502443;0352496Y;AFTRAL;;11750091675;actif;responsable_formateur;1 Avenue de Belle Fontaine 35510 Cesson-Sévigné;Rennes;Bretagne;Oui;;aftral;125;2;2021-12-17
30540504501999;0382660K;AFTRAL;;11750091675;actif;responsable_formateur;130 Allee de la Volla 38113 Veurey-Voroize;Grenoble;Auvergne-Rhône-Alpes;Oui;;aftral;125;;2021-12-17
30540504500751;0841101R;AFTRAL;;11750091675;actif;formateur;3 Avenue Elsa Triolet 84000 Avignon;Aix-Marseille;Provence-Alpes-Côte d'Azur;Oui;aftral;aftral;125;1;2021-12-17
30540504502393;0912446P;AFTRAL;;11750091675;actif;responsable_formateur;Rue Gustave Eiffel 91070 Bondoufle;Versailles;Île-de-France;Oui;aftral;aftral;125;1;2021-12-17
30540504502013;0711945D;AFTRAL;;11750091675;actif;responsable_formateur;322 Rue Pouilly Loché 71000 Mâcon;Dijon;Bourgogne-Franche-Comté;Oui;aftral;aftral;125;1;2021-12-17
30540504501155;0755781B;AFTRAL;;11750091675;actif;responsable_formateur;30 Rue de Paradis 75010 Paris;Paris;Île-de-France;Oui;aftral;aftral;125;1;2021-12-17
30540504500363;0941887R;AFTRAL;;11750091675;actif;responsable_formateur;11 Place d'Aquitaine Min 94550 Chevilly-Larue;Créteil;Île-de-France;Oui;aftral;aftral;125;1;2021-12-17
30540504501759;0891327J;AFTRAL;;11750091675;actif;responsable_formateur;46 Chemin des Ruelles 89380 Appoigny;Dijon;Bourgogne-Franche-Comté;Oui;aftral;aftral;125;1;2021-12-17
30540504501262;0561978W;AFTRAL;;11750091675;actif;responsable_formateur;31 Avenue Paul Duplaix 56000 Vannes;Rennes;Bretagne;Oui;;aftral;125;2;2021-12-17
30540504501536;0142220M;AFTRAL;;11750091675;actif;formateur;Rue de la Cotonnière 14000 Caen;Normandie;Normandie;Oui;aftral;aftral;125;1;2021-12-17
30540504501957;0694352F;AFTRAL;;11750091675;actif;responsable_formateur;33 Impasse des Arbousiers 69400 Arnas;Lyon;Auvergne-Rhône-Alpes;Oui;;aftral;125;2;2021-12-17
30540504502112;0783746Y;AFTRAL;;11750091675;actif;responsable_formateur;3 Rue des Bauches 78260 Achères;Versailles;Île-de-France;Oui;aftral;aftral;125;1;2021-12-17
30540504500629;0755810H;AFTRAL;POLE INTERREGIONAL TRANSPORT PERSONNES;11750091675;actif;responsable_formateur;131 Avenue Ledru-Rollin 75011 Paris;Paris;Île-de-France;Oui;aftral;aftral;126;2;2021-12-17
30540504501015;0251829C;AFTRAL;;11750091675;actif;responsable_formateur;7 Rue des Grandes Pièces 25770 Serre-les-Sapins;Besançon;Bourgogne-Franche-Comté;Oui;;aftral;125;1;2021-12-17
30540504502237;0371793Y;AFTRAL;;11750091675;actif;formateur;la coudrière 37210 Parçay-Meslay;Orléans-Tours;Centre-Val de Loire;Oui;;aftral;125;2;2021-12-17
30540504502153;0694442d;AFTRAL;;11750091675;actif;responsable_formateur;Avenue Henri Schneider 69330 Jonage;Lyon;Auvergne-Rhône-Alpes;Oui;;aftral;125;2;2021-12-17
30540504500660;0422306D;AFTRAL;AFT FC;11750091675;actif;responsable_formateur;52 Rue de la Talaudière 42000 Saint-Étienne;Lyon;Auvergne-Rhône-Alpes;Oui;;aftral;125;1;2021-12-17
30540504502419;0772921G;AFTRAL;;11750091675;actif;responsable_formateur;LE POIRIER PENCHE RN19 77170 SERVON;Créteil;Île-de-France;Oui;aftral;aftral;125;1;2021-12-17
30540504502401;0783791X;AFTRAL;;11750091675;actif;responsable_formateur;4 Avenue Albert Einstein 78190 Trappes;Versailles;Île-de-France;Oui;;aftral;125;1;2021-12-17
30540504500876;0597021L;AFTRAL;ISTELI WASQUEHAL;11750091675;actif;responsable_formateur;Rue Leon Jouhaux 59290 Wasquehal;Lille;Hauts-de-France;Oui;aftral;aftral;125;1;2021-12-17
30540504502377;0252002R;AFTRAL;;11750091675;actif;responsable_formateur;Rue Pierre Marti 25460 Étupes;Besançon;Bourgogne-Franche-Comté;Oui;;aftral;125;1;2021-12-17
30540504502310;0195063A;AFTRAL;;11750091675;actif;responsable_formateur;3 Avenue Roger Roncier 19100 Brive-la-Gaillarde;Limoges;Nouvelle-Aquitaine;Oui;;aftral;125;3;2021-12-17
30540504501403;0642044Z;AFTRAL;;11750091675;actif;responsable_formateur;2 Rue de Bordazahar 64990 Mouguerre;Bordeaux;Nouvelle-Aquitaine;Oui;;aftral;125;2;2021-12-17
30540504501031;0875094P;AFTRAL;;11750091675;actif;responsable_formateur;Avenue Jean Giraudoux 87410 Le Palais-sur-Vienne;Limoges;Nouvelle-Aquitaine;Oui;;aftral;125;2;2021-12-17
30540504501866;0820913X;AFTRAL;;11750091675;actif;responsable_formateur;Rue Garrel 82000 Montauban;Toulouse;Occitanie;Oui;;aftral;125;1;2021-12-17
30540504501908;0682064Z;AFTRAL;;11750091675;actif;formateur;1 Avenue de Suisse 68390 Sausheim;Strasbourg;Grand Est;Oui;aftral;aftral;125;1;2021-12-17
30540504500587;0573395F;AFTRAL;;11750091675;actif;formateur;Rue de la Mouée 57070 Metz;Nancy-Metz;Grand Est;Oui;aftral;aftral;125;2;2021-12-17
30540504502146;0694432T;AFTRAL;;11750091675;actif;responsable_formateur;Avenue Henri Schneider 69330 Jonage;Lyon;Auvergne-Rhône-Alpes;Oui;;aftral;125;4;2021-12-17
30540504500223;0672958B;AFTRAL;;11750091675;actif;formateur;4 Avenue de l'Energie 67800 Bischheim;Strasbourg;Grand Est;Oui;aftral;aftral;125;1;2021-12-17
30540504500066;0780762E;AFTRAL;;11750091675;actif;responsable_formateur;43 Rue du Général de Gaulle 78490 Le Tremblay-sur-Mauldre;Versailles;Île-de-France;Oui;aftral;aftral;125;1;2021-12-17
30540504500934;0542394J;AFTRAL;ISTELI NANCY JARVILLE;11750091675;actif;formateur;Avenue du General de Gaulle 54140 Jarville-la-Malgrange;Nancy-Metz;Grand Est;Oui;aftral;aftral;125;1;2021-12-17
30540504500371;0624254M;AFTRAL;;11750091675;actif;responsable_formateur;Rue Hans Geiger 62000 Arras;Lille;Hauts-de-France;Oui;aftral;aftral;125;1;2021-12-17
30540504501080;0596769M;AFTRAL;;11750091675;actif;responsable_formateur;2 Rue Coli 59121 Prouvy;Lille;Hauts-de-France;Oui;aftral;aftral;125;1;2021-12-17
30540504500579;0352496Y;AFTRAL;;11750091675;actif;responsable_formateur;Rue des Charmilles 35510 Cesson-Sévigné;Rennes;Bretagne;Oui;;aftral;125;3;2021-12-17
30540504501387;0932605B;AFTRAL;;11750091675;actif;responsable_formateur;Garonor 93600 Aulnay-sous-Bois;Créteil;Île-de-France;Oui;aftral;aftral;125;1;2021-12-17
30540504501213;0711944C;AFTRAL;;11750091675;actif;responsable_formateur;Chemin des Blettrys 71530 Champforgeuil;Dijon;Bourgogne-Franche-Comté;Oui;aftral;aftral;125;1;2021-12-17
30540504501635;0222024F;AFTRAL;AFT-IFTIM;11750091675;actif;responsable_formateur;La Gare 22940 Plaintel;Rennes;Bretagne;Oui;;aftral;125;1;2021-12-17
30540504501452;0596825Y;AFTRAL;;11750091675;actif;responsable_formateur;Rue François-noel Babeuf 59760 Grande-Synthe;Lille;Hauts-de-France;Oui;aftral;aftral;125;1;2021-12-17
30540504500504;0596456X;AFTRAL;AFT TC;11750091675;actif;responsable_formateur;Rue Harald Stammbach 59290 Wasquehal;Lille;Hauts-de-France;Oui;aftral;aftral;125;1;2021-12-17
30540504500785;0921679A;AFTRAL;AFT-FC;11750091675;actif;responsable_formateur;11 Route Principale du Port 92230 Gennevilliers;Versailles;Île-de-France;Oui;aftral;aftral;125;1;2021-12-17
30540504501858;0673108P;AFTRAL;ISTELI;11750091675;actif;formateur;2 Rue de Vienne 67300 Schiltigheim;Strasbourg;Grand Est;Oui;aftral;aftral;125;1;2021-12-17
30540504500116;0602092Y;AFTRAL;;11750091675;actif;responsable_formateur;Rue de la République 60290 Monchy-Saint-Éloi;Amiens;Hauts-de-France;Oui;aftral;aftral;125;1;2021-12-17
30540504500694;0292038H;AFTRAL;;11750091675;actif;responsable_formateur;Rue de Treodet 29500 Ergué-Gabéric;Rennes;Bretagne;Oui;;aftral;125;5;2021-12-17
30540504501528;0631959M;AFTRAL;;11750091675;actif;responsable_formateur;rue du Bois Joli 63800 Cournon-d'Auvergne;Clermont-Ferrand;Auvergne-Rhône-Alpes;Oui;;aftral;125;;2021-12-17
30540504501783;9741671Y;AFTRAL;;11750091675;actif;responsable_formateur;99 Rue Henri Cornu 97460 Saint-Paul;La Réunion;La Réunion;Oui;aftral;aftral;125;2;2021-12-17
30540504502039;0952256L;AFTRAL;;11750091675;actif;responsable_formateur;Rue de la Patelle 95310 Saint-Ouen-l'Aumône;Versailles;Île-de-France;Oui;;aftral;125;1;2021-12-17
30540504500132;0861231W;AFTRAL;;11750091675;actif;responsable_formateur;94 Rue du Porteau 86000 Poitiers;Poitiers;Nouvelle-Aquitaine;Oui;;aftral;125;2;2021-12-17
30540504502450;0851688Y;AFTRAL;;11750091675;actif;inconnue;5 Rue Etienne Lenoir 85500 Les Herbiers;Nantes;Pays de la Loire;Oui;;aftral;125;;2021-12-17
30540504501577;0831779H;AFTRAL;;11750091675;actif;formateur;Allée des Églantines 83170 Brignoles;Nice;Provence-Alpes-Côte d'Azur;Oui;aftral;aftral;125;3;2021-12-17
30540504501148;0802004U;AFTRAL;;11750091675;actif;responsable_formateur;Rue de la Vassellerie 80080 Amiens;Amiens;Hauts-de-France;Oui;aftral;aftral;125;1;2021-12-17
30540504502138;0791193T;AFTRAL;;11750091675;actif;responsable_formateur;Rue Anita Conti 79260 La Crèche;Poitiers;Nouvelle-Aquitaine;Oui;;aftral;125;2;2021-12-17
30540504500298;0783804L;AFTRAL;CENTRE FORMATION TRANSPORTS SANITAIRES;11750091675;actif;responsable_formateur;43 Rue du Général de Gaulle 78490 Le Tremblay-sur-Mauldre;Versailles;Île-de-France;Oui;aftral;aftral;125;3;2021-12-17
30540504501775;0721696C;AFTRAL;;11750091675;actif;responsable_formateur;Rue du Châtelet 72700 Allonnes;Nantes;Pays de la Loire;Oui;;aftral;125;1;2021-12-17
30540504501130;0772587U;AFTRAL;;11750091675;actif;responsable_formateur;Rue du Zinc 77176 Savigny-le-Temple;Créteil;Île-de-France;Oui;aftral;aftral;125;1;2021-12-17
30540504501932;0531056K;AFTRAL;;11750091675;actif;responsable_formateur;Route de Saint Nazaire 53000 Laval;Nantes;Pays de la Loire;Oui;;aftral;125;1;2021-12-17
30540504501965;0492464M;AFTRAL;;11750091675;actif;responsable_formateur;Rue Fabien Cesbron (Saint-Sylvain-d'Anjou) 49480 Verrières-en-Anjou;Nantes;Pays de la Loire;Oui;;aftral;125;1;2021-12-17
30540504500603;0332551U;AFTRAL;;11750091675;actif;responsable_formateur;Allée de Gascogne 33370 Artigues-près-Bordeaux;Bordeaux;Nouvelle-Aquitaine;Oui;aftral;aftral;125;7;2021-12-17
30540504501221;0451548N;AFTRAL;;11750091675;actif;formateur;Rue Léonard de Vinci 45400 Semoy;Orléans-Tours;Centre-Val de Loire;Oui;;aftral;125;2;2021-12-17
30540504502005;0442919J;AFTRAL;;11750091675;actif;responsable_formateur;Rue Nicéphore Niepce 44600 Saint-Nazaire;Nantes;Pays de la Loire;Oui;;aftral;125;1;2021-12-17
30540504500512;0441854B;AFTRAL;;11750091675;actif;responsable_formateur;2 Rue Jean Mermoz 44980 Sainte-Luce-sur-Loire;Nantes;Pays de la Loire;Oui;;aftral;125;1;2021-12-17
30540504501601;0391236G;AFTRAL;;11750091675;actif;responsable_formateur;ZI Les Plaines 39570 Courlaoux;Besançon;Bourgogne-Franche-Comté;Oui;aftral;aftral;125;1;2021-12-17
30540504502161;0382910G;AFTRAL;;11750091675;actif;responsable_formateur;70 Boucle de la Ramée 38070 Saint-Quentin-Fallavier;Grenoble;Auvergne-Rhône-Alpes;Oui;;aftral;125;1;2021-12-17
30540504500702;0341985Y;AFTRAL;AFT-FC;11750091675;actif;responsable_formateur;D ACTIVITES MEDITERRANNEE 34470 PEROLS;Montpellier;Occitanie;Oui;aftral;aftral;125;3;2021-12-17
30540504501809;0281180F;AFTRAL;;11750091675;actif;formateur;6 Avenue Louis Pasteur 28630 Gellainville;Orléans-Tours;Centre-Val de Loire;Oui;;aftral;125;1;2021-12-17
30540504501627;0252002R;AFTRAL;;11750091675;actif;inconnue;4 Rue de la Voivre 25490 Fesches-le-Châtel;Besançon;Bourgogne-Franche-Comté;Oui;aftral;aftral;125;;2021-12-17
30540504500025;0541958K;AFTRAL;;11750091675;actif;formateur;Avenue du General de Gaulle 54140 Jarville-la-Malgrange;Nancy-Metz;Grand Est;Oui;aftral;aftral;125;2;2021-12-17
30540504501429;0772242U;AFTRAL;;11750091675;actif;responsable_formateur;15 Rue de la Mare Blanche 77186 Noisiel;Créteil;Île-de-France;Oui;aftral;aftral;125;1;2021-12-17
30540504500520;0211948D;AFTRAL;;11750091675;actif;responsable_formateur;17 Rue de l’Ingenieur Bertin 21600 Longvic;Dijon;Bourgogne-Franche-Comté;Oui;aftral;aftral;126;1;2021-12-17
30540504501338;0171610H;AFTRAL;;11750091675;actif;responsable_formateur;2 Avenue Andre Dulin 17300 Rochefort;Poitiers;Nouvelle-Aquitaine;Oui;;aftral;126;5;2021-12-17
30540504501668;0161223T;AFTRAL;;11750091675;actif;responsable_formateur;5 Rue des Artisans 16400 Puymoyen;Poitiers;Nouvelle-Aquitaine;Oui;;aftral;125;3;2021-12-17
30540504501171;0763431S;AFTRAL;;11750091675;actif;formateur;8 Rue Vincent Van Gogh 76290 Montivilliers;Normandie;Normandie;Oui;aftral;aftral;125;2;2021-12-17
30540504501718;0762572H;AFTRAL;;11750091675;actif;formateur;145 Chemin des Taillis 76800 Saint-Étienne-du-Rouvray;Normandie;Normandie;Oui;aftral;aftral;125;1;2021-12-17
30540504500926;0442758J;AFTRAL;ISTELI SAINTE LUCE;11750091675;actif;responsable_formateur;2 Rue Jean Mermoz 44980 Sainte-Luce-sur-Loire;Nantes;Pays de la Loire;Oui;;aftral;125;1;2021-12-17
30540504500421;0312240S;AFTRAL;AFT-FC TOULOUSE;11750091675;actif;responsable_formateur;72 Rue Edmond Rostand 31200 Toulouse;Toulouse;Occitanie;Oui;aftral;aftral;126;3;2021-12-17
30540504502054;0763524T;AFTRAL;;11750091675;actif;formateur;387 Avenue de Bonport 76320 Saint-Pierre-lès-Elbeuf;Normandie;Normandie;Oui;;aftral;125;1;2021-12-17
30540504501346;0741767U;AFTRAL;;11750091675;actif;responsable_formateur;Rue de la gare 74000 Annecy;Grenoble;Auvergne-Rhône-Alpes;Oui;;aftral;125;1;2021-12-17
30540504500777;0731573N;AFTRAL;;11750091675;actif;responsable_formateur;Rue denis papin 73290 La Motte-Servolex;Grenoble;Auvergne-Rhône-Alpes;Oui;;aftral;125;1;2021-12-17
30540504502328;0660969V;AFTRAL;;11750091675;actif;responsable_formateur;29 Rue de Strasbourg 66000 Perpignan;Montpellier;Occitanie;Oui;;aftral;125;4;2021-12-17
30540504501874;0062307A;AFTRAL;;11750091675;actif;formateur;1 ZONE INDUSTRIELLE 06510 CARROS;Nice;Provence-Alpes-Côte d'Azur;Oui;aftral;aftral;125;2;2021-12-17
30540504500397;0651054T;AFTRAL;;11750091675;actif;responsable_formateur;Bd du Président Kennedy 65000 Tarbes;Toulouse;Occitanie;Oui;;aftral;125;1;2021-12-17
30540504502021;0642119F;AFTRAL;;11750091675;actif;responsable_formateur;6 Avenue Antoine Laurent Lavoisier 64140 Lons;Bordeaux;Nouvelle-Aquitaine;Oui;;aftral;125;3;2021-12-17
30540504501478;0624433G;AFTRAL;;11750091675;actif;responsable_formateur;622 Rue des Hauts de France 62110 Hénin-Beaumont;Lille;Hauts-de-France;Oui;aftral;aftral;125;1;2021-12-17
30540504500595;0511972S;AFTRAL;;11750091675;actif;formateur;rue du Val Clair 51100 Reims;Reims;Grand Est;Oui;aftral;aftral;125;1;2021-12-17
30540504502203;0471052N;AFTRAL;;11750091675;actif;formateur;Av d’Aquitaine 47550 Boé;Bordeaux;Nouvelle-Aquitaine;Oui;;aftral;125;1;2021-12-17
30540504501619;0383557K;AFTRAL;;11750091675;actif;responsable_formateur;Chemin des Platières 38670 Chasse-sur-Rhône;Grenoble;Auvergne-Rhône-Alpes;Oui;;aftral;125;1;2021-12-17
30540504502245;0342452F;AFTRAL;;11750091675;actif;responsable_formateur;Route de Narbonne d'609 34500 Béziers;Montpellier;Occitanie;Oui;aftral;aftral;125;1;2021-12-17
30540504501700;0301871W;AFTRAL;;11750091675;actif;inconnue;Avenue Frédéric Bartholdi 30000 Nîmes;Montpellier;Occitanie;Oui;aftral;aftral;125;;2021-12-17
30540504502211;0292390R;AFTRAL;;11750091675;actif;inconnue;11 Rue de Kermat 29410 Guiclan;Rennes;Bretagne;Oui;aftral;aftral;125;;2021-12-17
30540504502104;0292374Y;AFTRAL;;11750091675;actif;responsable_formateur;20 rue Jean Charles Chevillotte 29200 Brest;Rennes;Bretagne;Oui;;aftral;125;1;2021-12-17
30540504502336;0271893L;AFTRAL;;11750091675;actif;formateur;ZA LA ROUGEMARE 27930 FAUVILLE;Normandie;Normandie;Oui;aftral;aftral;125;1;2021-12-17
30540504500868;0241321F;AFTRAL;;11750091675;actif;responsable_formateur;MAISON DU TRANSPORT 24660 SANILHAC;Bordeaux;Nouvelle-Aquitaine;Oui;;aftral;125;2;2021-12-17
30540504500041;0133004V;AFTRAL;;11750091675;actif;formateur;368 Boulevard henri barnier 13016 Marseille;Aix-Marseille;Provence-Alpes-Côte d'Azur;Oui;aftral;aftral;125;2;2021-12-17
30540504501692;0111083T;AFTRAL;;11750091675;actif;responsable_formateur;23 Avenue des Etangs 11100 Narbonne;Montpellier;Occitanie;Oui;;aftral;125;1;2021-12-17
30540504500249;0101145R;AFTRAL;;11750091675;actif;responsable_formateur;Zone Industrielle 60210 Grandvilliers;Amiens;Hauts-de-France;Oui;aftral;aftral;125;2;2021-12-17
30540504502047;0081154L;AFTRAL;;11750091675;actif;formateur;Avenue de l'Industrie 08000 Charleville-Mézières;Reims;Grand Est;Oui;aftral;aftral;125;2;2021-12-17
30540504501882;0040583M;AFTRAL;;11750091675;actif;formateur;Chemin des Grands Jardins 04220 Sainte-Tulle;Aix-Marseille;Provence-Alpes-Côte d'Azur;Oui;aftral;aftral;125;1;2021-12-17
30540504500991;0031133R;AFTRAL;;11750091675;actif;responsable_formateur;PRC LOGISTIQUE ALLIER 03400 TOULON-SUR-ALLIER;Clermont-Ferrand;Auvergne-Rhône-Alpes;Oui;;aftral;125;1;2021-12-17
30540504502302;0022195A;AFTRAL;;11750091675;actif;responsable_formateur;AV ABEL BARBIN ET CHARLES BENOIT 02100 ROUVROY;Amiens;Hauts-de-France;Oui;aftral;aftral;125;1;2021-12-17
30540504501510;0022115N;AFTRAL;;11750091675;actif;responsable_formateur;4 Rue Pierre Bourdan 02000 Laon;Amiens;Hauts-de-France;Oui;aftral;aftral;125;2;2021-12-17
30540504501551;0011454A;;;;;;;;;;;aftral;;;
30540504500900;0601902S;;;;;;;;;;;aftral;;;
30540504502476;0597240Z;;;;;;;;;;;aftral;;;