Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à jour;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;UAI potentielle 2;UAI potentielle 3;UAI potentielle 4;UAI potentielle 5;UAI potentielle 6;UAI potentielle 7
88479319100039;0261542K;ASSOCIATION DE FORMATION PROFESSIONNELLE DE L'INDUSTRIE DE LA LOIRE DE LA DROME ET DE L'ARDECHE;;;actif;responsable_formateur;Chemin du Plateau de Lautagne 26000 Valence;Grenoble;Auvergne-Rhône-Alpes;Non;uimm;UIMM;1;1;2022-01-25;0261542K;0261542K;;;;;;
34872549000034;0611152W;CENTRE DE FORMATION D'APPRENTIS DE L'INDUSTRIE GRAND OUEST NORMANDIE;;25140050314;actif;formateur;POLE UNIVERSITAIRE D'ALENCON 61250 DAMIGNY;Normandie;Normandie;Oui;;UIMM;3;1;2022-01-03;0611152W;0611152W;;;;;;
34872549000026;0142106N;CENTRE DE FORMATION D'APPRENTIS DE L'INDUSTRIE GRAND OUEST NORMANDIE;;25140050314;actif;responsable_formateur;12 Rue Professeur Joseph Rousselot 14000 Caen;Normandie;Normandie;Oui;;UIMM;3;1;2022-01-03;0142106N;0141601P;0142106N;0142430R;0502019Y;0611152W;;
39279259400039;0341919B;ASS PROMOTION APPRENTISSAGE INDUSTRIES;;91340825234;actif;responsable_formateur;14 Rue Francois Perroux 34670 Baillargues;Montpellier;Occitanie;Oui;;UIMM;3;7;2022-01-03;0341919B;0301874Z;0341919B;0342307Y;;;;
77572845400205;0932760V;AFORP FORMATION;;11921813492;actif;responsable_formateur;64 Avenue de la Plaine de France 93290 Tremblay-en-France;Créteil;Île-de-France;Oui;;UIMM;7;2;2021-12-17;0932760V;0780850A;0922675H;0932760V;;;;
33453316300112;0411090M;ASS REGION PROMOTION METALLURG;;24450224445;actif;formateur;5 Rue des Onze Arpents 41000 Blois;Orléans-Tours;Centre-Val de Loire;Oui;;UIMM;4;1;2021-12-17;0411090M;0411090M;;;;;;
49317540000016;0741677W;CFAI FORMAVENIR;;84740406374;actif;inconnue;27 Rue royale 74000 Annecy;Grenoble;Auvergne-Rhône-Alpes;Oui;;UIMM;2;;2021-12-17;0741677W;0741677W;0741776D;;;;;
35109084000056;0333206F;ASS DEVELOP APPRENTIS INDUST AQUITAIN;;75331179633;actif;formateur;Le Grand Verger 33860 Reignac;Bordeaux;Nouvelle-Aquitaine;Oui;;UIMM;3;2;2021-12-17;0333206F;0333206F;;;;;;
35109084000072;0241204D;ASS DEVELOP APPRENTIS INDUST AQUITAIN;;75331179633;actif;formateur;Boulevard des Saveurs 24660 Coulounieix-Chamiers;Bordeaux;Nouvelle-Aquitaine;Oui;;UIMM;3;3;2021-12-17;0241204D;0241204D;;;;;;
33453316300104;0180949J;ASS REGION PROMOTION METALLURG;;24450224445;actif;formateur;9 Boulevard Lahitolle 18000 Bourges;Orléans-Tours;Centre-Val de Loire;Oui;;UIMM;4;1;2021-12-17;0180949J;0180949J;;;;;;
35250115900011;0891185E;POLE FORMATION DES INDUSTRIES TECHNOLOGIQUES;;26890094689;actif;responsable_formateur;6 Route de Monéteau 89000 Auxerre;Dijon;Bourgogne-Franche-Comté;Oui;;UIMM;2;4;2021-12-17;0891185E;0891185E;0891206C;;;;;
33811430900010;0861253V;CFAI POITOU-CHARENTES;;75860191586;actif;responsable_formateur;Rue de Vauchardon 86000 Poitiers;Poitiers;Nouvelle-Aquitaine;Oui;;UIMM;1;11;2021-12-17;0861253V;0161216K;0171625Z;0791192S;0861253V;0861277W;;
78106280700016;0761350E;AFPI EURE SEINE ESTUAIRE;;23760001576;actif;responsable_formateur;115 Rue Desramé 76620 Le Havre;Normandie;Normandie;Oui;;UIMM;3;4;2021-12-17;0761350E;0761350E;;;;;;
33286501300020;0741776D;SAVOISIENNE DEVELOP TECHNIQUES NOUVELLES;;82740028474;actif;responsable_formateur;Allée de broglie 74600 Annecy;Grenoble;Auvergne-Rhône-Alpes;Oui;;UIMM;1;1;2021-12-17;0741776D;0741776D;;;;;;
49317540000032;0741677W;CFAI FORMAVENIR;;84740406374;actif;responsable_formateur;31 Avenue des mélèzes 74300 Thyez;Grenoble;Auvergne-Rhône-Alpes;Oui;;UIMM;5;2;2021-12-17;0741677W;0741677W;;;;;;
44072836800018;0741540X;FORMA-SUP SAVOIE MONT BLANC;;84740379274;fermé;responsable_formateur;27 Rue royale 74000 Annecy;Grenoble;Auvergne-Rhône-Alpes;Oui;;UIMM;7;;2021-12-17;0741540X;0741540X;0741621K;;;;;
31418698200034;0711566S;CFAI 21 71;;27710289571;actif;responsable_formateur;75 Grande Rue Saint Cosme 71100 Chalon-sur-Saône;Dijon;Bourgogne-Franche-Comté;Oui;;UIMM;4;3;2021-12-17;0711566S;0212001L;0711566S;;;;;
30290898300026;0601500E;PROMEO CENTRE DE FORMATION D APPRENTIS DE L INDUSTRIE DE PICARDIE PROMEO CFAI PICARDIE;;32600361560;actif;responsable_formateur;1 Avenue Eugène Gazeau 60300 Senlis;Amiens;Hauts-de-France;Oui;;UIMM;6;4;2021-12-17;0601500E;0021740F;0601484M;0601500E;0602008G;0602090W;0801300D;0802097V
44531243200120;0594576D;AFPI ACM FORMATION;;;actif;inconnue;Rue des Chateaux (z I Pilaterie) 59700 Marcq-en-Barœul;Lille;Hauts-de-France;Non;uimm;UIMM;2;;2021-12-17;0594576D;0594576D;;;;;;
33453316300047;0451653C;ASS REGION PROMOTION METALLURG;;24450224445;actif;responsable_formateur;74 Rue Nationale 45380 La Chapelle-Saint-Mesmin;Orléans-Tours;Centre-Val de Loire;Oui;;UIMM;6;2;2021-12-17;0451653C;0281046K;0371438M;0371714M;0451638L;0451653C;0451713T;0451714U
78835426400095;0440096R;AFPI PAYS DE LA LOIRE;;52440004544;actif;responsable_formateur;9 Rue de l'Halbrane 44340 Bouguenais;Nantes;Pays de la Loire;Oui;;UIMM;5;1;2021-12-17;0440096R;0440096R;0442620J;0492352R;;;;
88474598500017;0421975U;CENTRE DE FORMATION DES APPRENTIS DE L INDUSTRIE LOIRE DROME ARDECHE (CFAI - LDA);;84420341742;actif;responsable_formateur;16 Boulevard Etivallière 42000 Saint-Étienne;Lyon;Auvergne-Rhône-Alpes;Oui;;UIMM;9;3;2021-12-17;0421975U;0261542K;0421975U;;;;;
35109084000015;0332814E;ASS DEVELOP APPRENTIS INDUST AQUITAIN;;75331179633;actif;responsable_formateur;40 Avenue Maryse Bastié 33520 Bruges;Bordeaux;Nouvelle-Aquitaine;Oui;;UIMM;3;9;2021-12-17;0332814E;0332814E;0332820L;0332984P;0401007C;;;
42384709400061;0311716X;CTRE FORMAT APPRENT INDUST MIDI PYRENEES;;73310412831;actif;responsable_formateur;Rue du Canigou 31700 Beauzelle;Toulouse;Occitanie;Oui;;UIMM;4;3;2021-12-17;0311716X;0311716X;;;;;;
78106280700032;0271415S;AFPI EURE SEINE ESTUAIRE;;23760001576;actif;formateur;422 Rue Henri Becquerel 27000 Évreux;Normandie;Normandie;Oui;;UIMM;3;1;2021-12-17;0271415S;0271415S;0761350E;;;;;
38356334300060;0190847T;CENTRE DE FORMATION D'APPRENTIS DE L'INSDUSTRIE LIMOUSIN-SITE DE TULLE;;74190074219;actif;responsable_formateur;3 Rue du 9 Juin 1944 19000 Tulle;Limoges;Nouvelle-Aquitaine;Oui;;UIMM;;3;2021-12-17;0190847T;0190847T;;;;;;
34958609900021;0542221W;ASS APPRENTISSAGE INDUSTRIEL;;44540379354;actif;responsable_formateur;10 Rue Alfred Kastler 54320 Maxéville;Nancy-Metz;Grand Est;Oui;;UIMM;3;18;2021-12-17;0542221W;0542221W;0572698Y;0881721T;;;;
77572845400023;0931025J;AFORP FORMATION;CFA AFORP DRANCY;11921813492;actif;formateur;Rue de la Butte 93700 Drancy;Créteil;Île-de-France;Oui;;UIMM;7;3;2021-12-17;0931025J;0772241T;0921274K;0922675H;0931025J;0932760V;;
30982522200032;;ADAMIC CFAI DE LEURE;;;fermé;inconnue;Rue Henri Becquerel 27000 Évreux;Normandie;Normandie;Non;;UIMM;;;2021-12-17;0271691S;0271415S;0271691S;0761350E;;;;
41244043000020;0763545R;ASS FORMATION INDUST PAR APPRENTISSAGE;;28760584376;actif;responsable_formateur;26 Rue Alfred Kastler 76130 Mont-Saint-Aignan;Normandie;Normandie;Oui;;UIMM;1;4;2021-12-17;0763545R;0763150L;0763544P;0763545R;;;;
40900342300038;0922451P;CTRE FORMAT INGENIEURS PAR L'ALTERNANCE;;11921201692;actif;responsable_formateur;93 boulevard de la Seine 92000 Nanterre;Versailles;Île-de-France;Oui;;UIMM;2;2;2021-12-17;0922451P;0922451P;;;;;;
78291196000055;0131782S;GESTION CTRE FORMA APPR INDUS PROVENCE;;93131778913;actif;responsable_formateur;8 Chemin de Capeau 13800 Istres;Aix-Marseille;Provence-Alpes-Côte d'Azur;Oui;;UIMM;17;2;2021-12-17;0131782S;0131782S;0301365W;;;;;
37932670500066;0251750S;ASS FORMATION APPRENTIS INDUSTRIE;;43390048539;actif;responsable_formateur;8 Avenue des Montboucons 25000 Besançon;Besançon;Bourgogne-Franche-Comté;Oui;;UIMM;2;3;2021-12-17;0251750S;0251750S;0391172M;;;;;
77572845400049;0921274K;AFORP FORMATION;CFAI AFORP MOULINEAUX;11921813492;actif;responsable_formateur;34 Rue Baudin 92130 Issy-les-Moulineaux;Versailles;Île-de-France;Oui;;UIMM;6;1;2021-12-17;0921274K;0921274K;0922675H;0932760V;;;;
77572845400148;0922675H;AFORP FORMATION;CFAI AFORP ASNIERES;11921813492;actif;responsable_formateur;20 Rue Paul Deroulède 92600 Asnières-sur-Seine;Versailles;Île-de-France;Oui;;UIMM;6;;2021-12-17;0921273J;0921273J;0922675H;0931025J;;;;
39107691600025;0912268W;ASS FORMATION AUX TECHNIQUES INDUSTRIELL;;;actif;inconnue;Rue de Corbeville 91400 Orsay;Versailles;Île-de-France;Non;;UIMM;;;2021-12-17;0912268W;0912268W;0922675H;;;;;
78835426400020;0851592U;AFPI PAYS DE LA LOIRE;;52440004544;actif;formateur;Rue kepler 85000 La Roche-sur-Yon;Nantes;Pays de la Loire;Oui;;UIMM;5;1;2021-12-17;0851592U;0440096R;0851592U;;;;;
30290898300091;0802097V;PROMEO CENTRE DE FORMATION D APPRENTIS DE L INDUSTRIE DE PICARDIE PROMEO CFAI PICARDIE;;32600361560;actif;responsable_formateur;Rue Emile Zola 80130 Friville-Escarbotin;Amiens;Hauts-de-France;Oui;;UIMM;6;1;2021-12-17;0802097V;0802097V;;;;;;
30290898300083;0801300D;PROMEO CENTRE DE FORMATION D APPRENTIS DE L INDUSTRIE DE PICARDIE PROMEO CFAI PICARDIE;;32600361560;actif;responsable_formateur;74 Rue de Poulainville 80080 Amiens;Amiens;Hauts-de-France;Oui;;UIMM;6;4;2021-12-17;0801300D;0601500E;0801300D;0802105D;;;;
77572845400122;0780850A;AFORP FORMATION;CFAI AFORP MANTES;11921813492;actif;responsable_formateur;6 Rue Camelinat 78711 Mantes-la-Ville;Versailles;Île-de-France;Oui;;UIMM;6;1;2021-12-17;0780850A;0780850A;0922675H;0932760V;;;;
77871521900052;0701147S;ASS DEVELOPP FORMATION PROFESS;ADFP CENTRE DE VESOUL;43250243625;actif;formateur;1 Rue du Talerot 70000 Vesoul;Besançon;Bourgogne-Franche-Comté;Oui;;UIMM;2;1;2021-12-17;0701147S;0701147S;;;;;;
78835426400087;0721528V;AFPI PAYS DE LA LOIRE;;52440004544;actif;formateur;47 avenue Olivier Messiaen 72000 Le Mans;Nantes;Pays de la Loire;Oui;;UIMM;6;1;2021-12-17;0721528V;0440096R;0721528V;;;;;
41158228100019;0692210C;ASSOCIATION CENTRE DE FORMATION D APPRENTIS DE L INDUSTRIE LYON;;84691829769;actif;responsable_formateur;60 Avenue Jean Mermoz 69008 Lyon;Lyon;Auvergne-Rhône-Alpes;Oui;;UIMM;17;2;2021-12-17;0692210C;0692210C;0693624P;0694347A;;;;
38855948600021;;CFAI ALSACE;;42680205768;fermé;inconnue;8 Rue de la Bourse 68100 Mulhouse;Strasbourg;Grand Est;Oui;;UIMM;1;;2021-12-17;0682021C;0681832X;0682021C;0682022D;;;;
30290898300067;0602008G;PROMEO CENTRE DE FORMATION D APPRENTIS DE L INDUSTRIE DE PICARDIE PROMEO CFAI PICARDIE;;32600361560;actif;responsable_formateur;87 Avenue de la Mare Gessart 60280 Venette;Amiens;Hauts-de-France;Oui;;UIMM;6;1;2021-12-17;0602008G;0601484M;0601500E;0602008G;;;;
30290898300042;0601484M;PROMEO CENTRE DE FORMATION D APPRENTIS DE L INDUSTRIE DE PICARDIE PROMEO CFAI PICARDIE;CFAI OISE;32600361560;actif;responsable_formateur;6 Avenue Paul Henri Spaak 60000 Beauvais;Amiens;Hauts-de-France;Oui;;UIMM;6;1;2021-12-17;0601484M;0021740F;0601484M;0601500E;0602008G;;;
78835426400053;0531010K;AFPI PAYS DE LA LOIRE;;52440004544;actif;formateur;44 Boulevard des Loges 53940 Saint-Berthevin;Nantes;Pays de la Loire;Oui;;UIMM;5;1;2021-12-17;0531010K;0440096R;0531010K;;;;;
34872549000059;0502019Y;CENTRE DE FORMATION D'APPRENTIS DE L'INDUSTRIE GRAND OUEST NORMANDIE;;25140050314;fermé;formateur;Rue des Portes 50100 Cherbourg-en-Cotentin;Normandie;Normandie;Oui;uimm;UIMM;4;;2021-12-17;0502019Y;0142106N;0502019Y;;;;;
78835426400046;0492352R;AFPI PAYS DE LA LOIRE;;52440004544;fermé;responsable_formateur;4 Rue du Pavillon 49070 Beaucouzé;Nantes;Pays de la Loire;Oui;;UIMM;6;;2021-12-17;0492352R;0440096R;0492352R;;;;;
39048242000028;0221835A;CFAI DE BRETAGNE;;53220855422;actif;responsable_formateur;Rue de la Prunelle 22190 Plérin;Rennes;Bretagne;Oui;;UIMM;16;13;2021-12-17;0221835A;0221835A;0292258X;0292338J;0352504G;0352690J;0352927S;0442808N
78835426400079;0442620J;AFPI PAYS DE LA LOIRE;;52440004544;actif;formateur;Rue de la Côte de Jade 44600 Saint-Nazaire;Nantes;Pays de la Loire;Oui;;UIMM;5;1;2021-12-17;0442620J;0442620J;;;;;;
35109084000064;0401007C;ASS DEVELOP APPRENTIS INDUST AQUITAIN;;75331179633;actif;responsable_formateur;Rue Hélène Boucher 40220 Tarnos;Bordeaux;Nouvelle-Aquitaine;Oui;;UIMM;3;4;2021-12-17;0401007C;0401007C;;;;;;
77559594500087;0383057S;ASSOC DAUPHINOISE FORMATION INDUSTRIE;ADFI - CFAI DU DAUPHINE;84380781138;actif;responsable_formateur;83 Rue Chatagnon 38430 Moirans;Grenoble;Auvergne-Rhône-Alpes;Oui;;UIMM;7;1;2021-12-17;0383057S;0383057S;0383091D;;;;;
77559594500053;0381867Y;ASSOC DAUPHINOISE FORMATION INDUSTRIE;ADFI - CFAI DU DAUPHINE;84380781138;actif;responsable_formateur;Place Etienne Dolet 38270 Beaurepaire;Grenoble;Auvergne-Rhône-Alpes;Oui;;UIMM;3;1;2021-12-17;0381867Y;0381867Y;0383091D;;;;;
33453316300062;0371438M;ASS REGION PROMOTION METALLURG;PROMETA CEFAMREC;24450224445;actif;formateur;8 Rue du Clos Bourget 37400 Amboise;Orléans-Tours;Centre-Val de Loire;Oui;;UIMM;4;1;2021-12-17;0371438M;0371438M;0451653C;;;;;
33453316300021;0281046K;ASS REGION PROMOTION METALLURG;PROMETA CEFAMREC;24450224445;actif;formateur;2 Rue Louis Appert 28200 Châteaudun;Orléans-Tours;Centre-Val de Loire;Oui;;UIMM;4;1;2021-12-17;0281046K;0281046K;0451653C;;;;;
39379933300041;0261542K;ASS FORMAT DANS INDUSTRIES DE LA LOIRE;;;actif;inconnue;16bis Boulevard Etivallière 42000 Saint-Étienne;Lyon;Auvergne-Rhône-Alpes;Non;;UIMM;8;;2021-12-17;0421975U;0261542K;0421975U;;;;;
77871521900136;0251945D;ASS DEVELOPP FORMATION PROFESS;;43250243625;actif;responsable_formateur;5 Rue du Château 25400 Exincourt;Besançon;Bourgogne-Franche-Comté;Oui;;UIMM;7;2;2021-12-17;0251944C;0251944C;0251945D;;;;;
34872549000042;0142430R;CENTRE DE FORMATION D'APPRENTIS DE L'INDUSTRIE GRAND OUEST NORMANDIE;;25140050314;actif;formateur;Residence Maurice Duros 14500 Vire Normandie;Normandie;Normandie;Oui;;UIMM;3;1;2021-12-17;0142430R;0142430R;0611152W;;;;;
40120610700062;0511949S;CFAI DE CHAMPAGNE ARDENNE;;44510203351;actif;responsable_formateur;3 rue Max Holste 51100 Reims;Reims;Grand Est;Oui;;UIMM;5;5;2021-12-17;0511949S;0081059H;0511949S;0520892M;;;;
30290898300075;0021796S;PROMEO CENTRE DE FORMATION D APPRENTIS DE L INDUSTRIE DE PICARDIE PROMEO CFAI PICARDIE;;32600361560;actif;responsable_formateur;161 Rue des Grands Pres 02200 Billy-sur-Aisne;Amiens;Hauts-de-France;Oui;;UIMM;6;1;2021-12-17;0021796S;0021796S;;;;;;
30290898300109;0021740F;PROMEO CENTRE DE FORMATION D APPRENTIS DE L INDUSTRIE DE PICARDIE PROMEO CFAI PICARDIE;;32600361560;actif;responsable_formateur;114 Rue de la Chaussée Romaine 02100 Saint-Quentin;Amiens;Hauts-de-France;Oui;;UIMM;6;1;2021-12-17;0021740F;0021740F;;;;;;
77931004400028;0010856A;AFPMA APPRENTISSAGE;;84010232801;actif;responsable_formateur;1 Allée des Tyrandes 01960 Péronnas;Lyon;Auvergne-Rhône-Alpes;Oui;;UIMM;1;1;2021-12-17;0010856A;0010856A;;;;;;